,mass,method,semimajoraxis
686,0.02541726,transit,0.1283
687,0.939,transit,0.02959
688,1.1,transit,84.4
689,0.5978,RV,0.02999
690,0.43,transit,0.082
691,0.2,transit,0.0396
692,6.97,RV,0.73
693,1.02,transit,0.0455
694,0.505,transit,0.027
695,0.376,transit,0.2799
696,0.077,transit,0.0456
697,0.015963,transit,0.077
698,0.026041,transit,0.087
699,0.0239121542963,transit,0.509
700,0.0695,transit,0.1028
701,0.569,transit,0.1652
702,3.3,transit,2.0
703,2.114,transit,0.05064
704,0.02610931,transit,0.0617
705,0.01509936,transit,0.09059
706,0.947,RV,1.4
707,0.669,transit,0.04567
708,0.68,transit,0.084
709,9.9,transit,0.08
710,0.43,transit,0.04501
711,0.433,transit,0.06246
712,1.019836,transit,0.471
713,0.020132,transit,0.664
714,0.0330298,transit,0.05119
715,0.04907293,transit,0.1013
716,0.33344427,transit,0.1684
717,0.11009952,transit,0.3046
718,0.603,transit,0.0483
719,0.73,transit,0.0723
720,0.0126,transit,0.053
721,0.141900591,transit,0.143
722,0.0975369917,transit,0.229
723,0.022,transit,0.0271
724,0.019503,transit,0.7877
725,1.45,transit,0.382
726,4.87,transit,0.3034
727,3.23,transit,0.0449
728,0.0055264,transit,0.098
729,0.76,timing,0.1529
730,0.595,transit,0.03585
731,0.0014,transit,0.0048
732,0.25,transit,0.0464
733,0.29,transit,0.091
734,0.34,transit,0.0414
735,2.9,transit,0.059
736,0.202310599,transit,0.118
737,0.0191927629,transit,0.184
738,0.012048,transit,0.091
739,0.003177,transit,0.128
740,18.0,transit,0.155
741,2.2,transit,0.08
742,0.0014,imaging,0.006
743,0.0021,imaging,0.0076
744,0.62,transit,0.08
745,0.035546,transit,0.18
746,2.013248,transit,0.3
747,0.072666,transit,0.5
748,1.27,transit,0.0433
749,0.81,transit,0.0464
750,0.01,microlensing,0.66
751,0.9,microlensing,0.85
752,0.23,microlensing,1.25
753,4.1,microlensing,3.3
754,0.0327,microlensing,3.2
755,0.157,microlensing,2.0
756,2.6,microlensing,1.8
757,11.0,microlensing,1.21
758,0.02894,microlensing,0.92
759,1.5,microlensing,2.0
760,4.8,microlensing,1.1
761,7.8,microlensing,3.6
762,0.188780165497,microlensing,0.7
763,3.7,microlensing,8.3
764,1.676,RV,1.5
765,0.03321,RV,0.09094
766,0.5219,RV,0.921
767,1.814,RV,5.235
768,2.4,RV,1.1
769,10.6,RV,2.1
770,19.8,RV,2.38
771,6.96,timing,5.389
772,1.74,timing,3.358
773,2.8,timing,1.9
774,8.0,timing,2.9
775,24.0,RV,1.9
776,27.0,RV,6.1
777,2.3,timing,3.3
778,3.5,microlensing,3.6
779,0.04,microlensing,2.8
780,0.017,microlensing,2.1
781,0.727,microlensing,2.3
782,0.271,microlensing,4.5
783,0.0694,microlensing,3.3
784,0.12347045,microlensing,13.0
785,4.6,microlensing,1.7
786,0.53,microlensing,2.72
787,1.0,microlensing,2.0
788,0.11,microlensing,3.82
789,0.68,microlensing,4.63
790,1.85,microlensing,0.87
791,3.9,microlensing,3.9
792,0.005222,microlensing,0.702
793,2.6,microlensing,5.1
794,4.34,transit,0.0308
795,0.68,transit,0.04516
796,0.54,transit,0.047
797,1.24,transit,0.0229
798,1.17,transit,0.03
799,1.06,transit,0.051
800,0.75,transit,0.051
801,1.3,transit,0.0225
802,1.7,RV,1.1
803,1.5,RV,0.83
804,4.1,RV,3.9
805,2.31,transit,0.03734
806,7e-05,timing,0.19
807,0.013,timing,0.36
808,0.012,timing,0.46
809,1.2,timing,0.00442
810,2.5,timing,23.0
811,1.33,transit,0.02343
812,2.487,transit,0.02149
813,4.2,timing,5.3
814,9.7,transit,0.03
815,5.9,RV,0.046
816,0.0062914013,RV,0.105
817,0.009751672,RV,0.195
818,0.011324522,RV,0.374
819,0.013526513,RV,0.552
820,0.020761624,RV,1.35
821,20.6,RV,1.17
822,0.761,transit,0.0393
823,1.253,transit,0.03556
824,1.91,transit,0.0226
825,0.917,transit,0.05084
826,1.778,transit,0.02446
827,2.5,RV,0.69
828,10.0,RV,1.37
829,0.69,RV,0.059
830,14.57,RV,0.861
831,10.19,RV,2.55
832,1.059,RV,5.2456
833,7.7,timing,2.8
834,3.2,timing,1.7
835,2.03,transit,0.0457
836,0.5,transit,0.0506
837,1.47,transit,0.01978
838,1.272,transit,0.02918
839,1.925,transit,0.0917
840,0.892,transit,0.0397
841,0.91,transit,0.0463
842,3.06,transit,0.0371
843,0.51,transit,0.0457
844,1.83,transit,0.03914
845,0.88,transit,0.0382
846,0.2755,transit,0.09459
847,0.46,transit,0.0439
848,1.404,transit,0.02293
849,0.5,transit,0.05379
850,7.341,transit,0.036
851,0.542,transit,0.0499
852,0.855,transit,0.0421
853,0.486,transit,0.0515
854,10.43,transit,0.02047
855,1.168,transit,0.01655
856,0.854,transit,0.03889
857,0.313,transit,0.06003
858,0.276,transit,0.0499
859,0.588,transit,0.04698
860,0.884,transit,0.0376
861,1.032,transit,0.0359
862,0.58,transit,0.0474
863,1.028,transit,0.03985
864,0.907,transit,0.04469
865,0.244,transit,0.0457
866,0.914,transit,0.03138
867,0.478,transit,0.04657
868,3.6,transit,0.0394
869,4.59,transit,0.02558
870,0.59,transit,0.0524
871,0.72,transit,0.04317
872,2.279,transit,0.02624
873,1.696,transit,0.04339
874,2.71,transit,0.0758
875,0.28,transit,0.0486
876,2.06,transit,0.0313
877,0.92,transit,0.04
878,0.5,transit,0.0548
879,2.034,transit,0.01526
880,0.869,transit,0.03445
881,1.007,transit,0.04054
882,2.101,transit,0.02448
883,1.14,transit,0.052
884,0.98,transit,0.03444
885,0.378,transit,0.0379
886,1.1215,transit,0.02312
887,1.47,transit,0.02945
888,0.636,transit,0.04987
889,0.57,transit,0.0533
890,0.571,transit,0.05458
891,0.672,transit,0.0386
892,0.89,transit,0.0561
893,0.863,transit,0.0697
894,1.637,transit,0.02729
895,0.514,transit,0.0531
896,2.06,transit,0.0514
897,0.57,transit,0.0567
898,0.38,transit,0.0574
899,1.271,transit,0.02648
900,1.55,transit,0.0334
901,2.32,transit,0.0546
902,0.42,transit,0.0517
903,0.95,transit,0.06206
904,0.26,transit,0.04525
905,0.503,transit,0.0421
906,0.59,transit,0.04853
907,2.242,transit,0.04631
908,1.41,transit,0.03655
909,1.88,transit,0.05512
910,0.95,transit,0.037
911,1.07,transit,0.0375
912,0.92,transit,0.033
913,1.76,transit,0.024
914,1.16,transit,0.0415
915,0.9,transit,0.0362
916,0.96,transit,0.0617
917,0.554,transit,0.0346
918,1.24,transit,0.0447
919,0.3,transit,0.059
920,0.7,transit,0.0775
921,1.22,transit,0.0382
922,2.18,transit,0.02946
923,0.56,transit,0.06431
924,5.9,transit,0.0427
925,2.244,transit,0.0801
926,0.63,transit,0.0562
927,0.452,transit,0.055
928,0.618,RV,0.0335
929,1.13,transit,0.03416
930,0.48,transit,0.0453
931,1.32,transit,0.03303
932,0.83,transit,0.036
933,2.78,transit,0.0717
934,4.01,transit,0.047
935,1.12,RV,0.01855
936,0.9,transit,0.0488
937,0.259,RV,0.1344
938,1.37,RV,0.4756
939,0.62,transit,0.0369
940,11.79,transit,0.0454
941,1.72,transit,0.0555
942,1.077,transit,0.0487
